"gbif_id";"iucn_id";"cites_id";"nombre_cientifico";"nombre_cientifico2";"reino";"filo";"clase";"orden";"familia";"genero";"TIPO";"NOMBRE.EN.ESPAÑOL";"NACIONAL";"STATUS";"iucn_status";"cites_status"
2703041;164340;NA;"Arundo donax";"Arundo donax L.";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Poaceae";"Arundo";"Flora";"Caña hueca";NA;"Introducida";"LC";NA
2705297;172049;NA;"Avena fatua";"Avena fatua L.";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Poaceae";"Avena";"Flora";NA;NA;"Introducida";"LC";NA
5289848;NA;NA;"Bouteloua simplex";"Bouteloua simplex Lag.";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Poaceae";"Bouteloua";"Flora";NA;NA;NA;NA;NA
4108966;NA;NA;"Bromus berteroanus";"Bromus berteroanus Colla";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Poaceae";"Bromus";"Flora";NA;NA;NA;NA;NA
2703723;NA;NA;"Bromus catharticus";"Bromus catharticus Vahl";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Poaceae";"Bromus";"Flora";"Cebadilla";NA;"Nativa";NA;NA
4127564;NA;NA;"Bromus lanatus";"Bromus lanatus Kunth";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Poaceae";"Bromus";"Flora";NA;NA;NA;NA;NA
5828201;13490715;NA;"Cenchrus clandestinus";"Cenchrus clandestinus (Hochst. ex Chiov.) Morrone";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Poaceae";"Cenchrus";"Flora";NA;NA;"Introducida";"LC";NA
5289739;13506981;NA;"Cenchrus echinatus";"Cenchrus echinatus L.";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Poaceae";"Cenchrus";"Flora";"Cadillo";NA;"Nativa";"LC";NA
5289726;NA;NA;"Cenchrus spinifex";"Cenchrus spinifex Cav.";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Poaceae";"Cenchrus";"Flora";NA;NA;NA;NA;NA
5289732;NA;NA;"Cenchrus myosuroides";"Cenchrus myosuroides Kunth";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Poaceae";"Cenchrus";"Flora";NA;NA;NA;NA;NA
12227744;NA;NA;"Cinnagrostis breviaristata";"Cinnagrostis breviaristata (Wedd.) P.M.Peterson, Soreng, Romasch. & Barberá";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Poaceae";"Cinnagrostis";"Flora";NA;NA;NA;NA;NA
