"ESPECIES";"INSTITUCIÓN";"AÑO";"AUTOR";"TÍTULO"
"Aeronautes andecolus";"Revista The Biologist (Lima). Vol. 8, Nº1.";2010;"Jhonson Vizcarra Romero.";"NUEVOS REGISTROS ORNITOLÓGICOS EN LOS HUMEDALES DE ITE Y ALREDEDORES, TACNA, PERÚ."
"Aeronautes andecolus";"Revista Biodiversidad & Conservación Integral (Nº 11 Art. 3)";2006;"Jhonson Vizcarra Romero.";"AVES DE LOS HUMEDALES DE ITE Y ALREDEDORES"
"Aeronautes andecolus";"UNIVERSIDAD NACIONAL JORGE BASADRE GROHMANN";2014;"Romina Venturia Candia.";"Diversidad y Habitat de la comunidad Ornitológica de la Quebrad de Tacahuay de la Región Tacna"
"Aeronautes andecolus";"Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna\".";2009;"Nataly Hidalgo Aranzamendi.";"EVALUACION DE LA VARIACIÓN POBLACIONAL DE LA AVIFAUNA EN LAGUNAS ALTOANDINAS Y BOFEDALES DE LA REGIÓN TACNA."
"Aeronautes andecolus";"Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna\".";2009;"Nataly Hidalgo Aranzamendi.";"EVALUACIÓN DE LA VARIACION POBLACIONAL DE LA AVIFAUNA EN LOS HUMEDALES DE ITE."
"Aeronautes andecolus";"Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna\".";2009;"Nataly Hidalgo Aranzamendi.";"EVALUACIÓN DE LA COMPOSICIÓN Y DENSIDAD DE AVES EN MONTES RIBEREÑOS DE LA REGIÓN TACNA 2009."
"Aeronautes andecolus";"Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Mejoramiento del Servicio de Monitoreo e Información Ambiental\".";2014;"Jhonson Vizcarra Romero.";"EVALUACIÓN DE AVES SILVESTRES EN LOS VALLES DE LOCUMBA Y SAMA."
"Chaetura pelagica";"Revista The Biologist (Lima). Vol. 8, Nº1.";2010;"Jhonson Vizcarra Romero.";"NUEVOS REGISTROS ORNITOLÓGICOS EN LOS HUMEDALES DE ITE Y ALREDEDORES, TACNA, PERÚ."
"Chaetura pelagica";"Revista Biodiversidad & Conservación Integral (Nº 11 Art. 3)";2006;"Jhonson Vizcarra Romero.";"AVES DE LOS HUMEDALES DE ITE Y ALREDEDORES"
"Colibri coruscans";"Instituto Nacional de Recursos Naturales (INRENA) Ministerio de Agricultura.";2007;"Letty Salinas Sánchez";"AVIFAUNA DE TACNA EN LA RUTA DEL CENSO DE SURI Pterocnemia pennata."
