SCIENTIFIC NAME,SPANISH NAME
Aglaeactis aliciae,Purple-backed Sunbeam Rayo-de-Sol de Dorso Púrpura
Coeligena coeligena,Bronzy Inca Inca Bronceado
Coeligena torquata,Collared Inca Inca Acollarado
Coeligena violifer,Violet-throated Starfrontlet Inca de Garganta Violeta
Coeligena iris,Rainbow Starfrontlet Inca Arcoiris
Coeligena lutetiae,Buff-winged Starfrontlet Inca de Ala Anteada
Lafresnaya lafresnayi,Mountain Velvetbreast Colibrí Aterciopelado
Ensifera ensifera,Sword-billed Hummingbird Colibrí Pico-Espada
Pterophanes cyanopterus,Great Sapphirewing Ala-Zafiro Grande
Boissonneaua matthewsii,Chestnut-breasted Coronet Colibrí de Pecho Castaño
Ocreatus underwoodii,Booted Racket-tail Colibrí Cola de Raqueta
Urochroa leucura,Green-backed Hillstar Estrella de Dorso Verde
Urosticte ruficrissa,Rufous-vented Whitetip Colibrí de Subcaudales Rufas
Heliodoxa gularis,Pink-throated Brilliant Brillante de Garganta Rosada
Heliodoxa branickii,Rufous-webbed Brilliant Brillante de Ala Canela
Heliodoxa schreibersii,Black-throated Brilliant Brillante de Garganta Negra
Heliodoxa aurescens,Gould’s Jewelfront Brillante de Pecho Castaño
Heliodoxa rubinoides,Fawn-breasted Brilliant Brillante de Pecho Anteado
Heliodoxa leadbeateri,Violet-fronted Brilliant Brillante de Frente Violeta
Patagona gigas,Giant Hummingbird Colibrí Gigante
Heliomaster longirostris,Long-billed Starthroat Colibrí de Pico Largo
Heliomaster furcifer,Blue-tufted Starthroat Colibrí de Pecho Azul
Myrtis fanny,Purple-collared Woodstar Estrellita de Collar Púrpura
Eulidia yarrellii,Chilean Woodstar Estrellita Chilena
Rhodopis vesper,Oasis Hummingbird Colibrí de Oasis
Thaumastura cora,Peruvian Sheartail Colibrí de Cora
Chaetocercus mulsant,White-bellied Woodstar Estrellita de Vientre Blanco
Chaetocercus bombus,Little Woodstar Estrellita Chica
Myrmia micrura,Short-tailed Woodstar Estrellita de Cola Corta
Calliphlox amethystina,Amethyst Woodstar Estrellita Amatista
Chlorostilbon mellisugus,Blue-tailed Emerald Esmeralda de Cola Azul
Chlorostilbon lucidus,Glittering-bellied Emerald Esmeralda de Vientre Dorado
Klais guimeti,Violet-headed Hummingbird Colibrí de Cabeza Violeta
Campylopterus largipennis,Gray-breasted Sabrewing Ala-de-Sable de Pecho Gris
Campylopterus villaviscensio,Napo Sabrewing Ala-de-Sable del Napo
Chalybura buffonii,White-vented Plumeleteer Colibrí de Buffon
Thalurania colombica,Crowned Woodnymph Ninfa Coronada
Thalurania furcata,Fork-tailed Woodnymph Ninfa de Cola Ahorquillada
Thaumasius baeri,Tumbes Hummingbird Colibrí de Tumbes
Thaumasius taczanowskii,Spot-throated Hummingbird Colibrí de Taczanowski
Taphrospilus hypostictus,Many-spotted Hummingbird Colibrí Multipunteado
Eupetomena macroura,Swallow-tailed Hummingbird Colibrí de Cola Ahorquillada
Talaphorus chlorocercus,Olive-spotted Hummingbird Colibrí Blanco y Olivo
Amazilia tzacatl,Rufous-tailed Hummingbird Colibri de Cola Rufa
Amazilis amazilia,Amazilia Hummingbird Colibrí de Vientre Rufo
Uranomitra franciae,Andean Emerald Colibrí Andino
Chrysuronia oenone,Golden-tailed Sapphire Zafiro de Cola Dorada
Leucochloris albicollis,White-throated Hummingbird Colibrí de Garganta Blanca
Chionomesa fimbriata,Glittering-throated Emerald Colibrí de Garganta Brillante
Chionomesa lactea,Sapphire-spangled Emerald Colibrí de Pecho Zafiro
Hylocharis sapphirina,Rufous-throated Sapphire Zafiro de Garganta Rufa
Elliotomyia chionogaster,White-bellied Hummingbird Colibrí de Vientre Blanco
Elliotomyia viridicauda,Green-and-white Hummingbird Colibrí Verde y Blanco
Chlorestes cyanus,White-chinned Sapphire Zafiro de Barbilla Blanca
Chlorestes julie,Violet-bellied Hummingbird Colibrí de Vientre Violeta
Chlorestes notata,Blue-chinned Sapphire Zafiro de Barbilla Azul
Opisthocomus hoazin,Hoatzin Hoazín
Aramus guarauna,Limpkin Carrao
Psophia crepitans,Gray-winged Trumpeter Trompetero de Ala Gris
Psophia leucoptera,Pale-winged Trumpeter Trompetero de Ala BlancaFamily ARAMIDAE: Limpkin / Carrao
Rallus longirostris,Mangrove Rail Rascón Manglero
Rallus limicola,Virginia Rail Rascón Menor
Rallus semiplumbeus,Bogota Rail Rascón de Bogotá
Porphyrio martinica,Purple Gallinule Polla de Agua Morada
Porphyrio flavirostris,Azure Gallinule Polla de Agua Azulada
Anurolimnas castaneiceps,Chestnut-headed Crake Gallineta de Cabeza Castaña
Anurolimnas viridis,Russet-crowned Crake Gallineta de Corona Rufa
Anurolimnas fasciatus,Black-banded Crake Gallineta Negra Bandeada
Laterallus melanophaius,Rufous-sided Crake Gallineta de Flanco Rufo
Laterallus albigularis,White-throated Crake Gallineta de Garganta Blanca
Laterallus exilis,Gray-breasted Crake Gallineta de Pecho Gris
Laterallus jamaicensis,Black Rail Gallineta Negra
Micropygia schomburgkii,Ocellated Crake Gallineta de Ocelos
Mustelirallus albicollis,Ash-throated Crake Gallineta de Garganta Ceniza
Mustelirallus erythrops,Paint-billed Crake Gallineta de Pico Rojo
Pardirallus maculatus,Spotted Rail Rascón Moteado
Pardirallus nigricans,Blackish Rail Rascón Negruzco
Pardirallus sanguinolentus,Plumbeous Rail Rascón Plomizo
Amaurolimnas concolor,Uniform Crake Gallineta Unicolor
Aramides cajaneus,Gray-cowled Wood-Rail Rascón-Montés de Capucha Gris
Aramides axillaris,Rufous-necked Wood-Rail Rascón-Montés de Cuello Rufo
Aramides calopterus,Red-winged Wood-Rail Rascón-Montés de Ala Rojiza
Porzana flaviventer,Yellow-breasted Crake Gallineta de Pecho Amarillo
Porzana carolina,Sora Gallineta Sora
Gallinula galeata,Common Gallinule Polla de Agua Común
Fulica rufifrons,Red-fronted Coot Gallareta de Frente Roja
Fulica cornuta,Horned Coot Gallareta Cornuda
Fulica gigantea,Giant Coot Gallareta Gigante
Fulica ardesiaca,Slate-colored Coot Gallareta Andina
Fulica leucoptera,White-winged Coot Gallareta de Ala Blanca
Heliornis fulica,Sungrebe Ave de Sol Americana
Pluvialis squatarola,Black-bellied Plover Chorlo Gris
Pluvialis dominica,American Golden-Plover Chorlo Dorado Americano
Oreopholus ruficollis,Tawny-throated Dotterel Chorlo de Campo
Hoploxypterus cayanus,Pied Lapwing Avefría Pinta
Phegornis mitchellii,Diademed Sandpiper-Plover Chorlo Cordillerano
Zonibyx modestus,Rufous-chested Dotterel Chorlo Chileno
Charadrius vociferus,Killdeer Chorlo Gritón
Charadrius semipalmatus,Semipalmated Plover Chorlo Semipalmado
Vanellus chilensis,Southern Lapwing Avefría Tero
Vanellus resplendens,Andean Lapwing Avefría Andina
Anarhynchus mongolus,Lesser Sand-Plover Chorlo de Campo
Anarhynchus wilsonia,Wilson’s Plover Chorlo de Pico Grueso
Anarhynchus collaris,Collared Plover Chorlo Acollarado
Anarhynchus alticola,Puna Plover Chorlo de la Puna
Anarhynchus falklandicus,Two-banded Plover Chorlo de Doble Collar
Anarhynchus nivosus,Snowy Plover Chorlo Nevado
Haematopus palliatus,American Oystercatcher Ostrero Americano
Haematopus ater,Blackish Oystercatcher Ostrero Negruzco
Himantopus mexicanus,Black-necked Stilt Cigüeñuela de Cuello Negro
Recurvirostra andina,Andean Avocet Avoceta Andina
Hesperoburhinus superciliaris,"Peruvian Thick-knee Alcaraván HuerequequeFamily RALLIDAE: Rails, Gallinules, and Coots / Rascones, Polla s de Agua, y Gallaretas"
Bartramia longicauda,Upland Sandpiper Playero Batitú
Numenius phaeopus,Whimbrel Zarapito Trinador
Numenius americanus,Long-billed Curlew Zarapito de Pico Largo
Limosa lapponica,Bar-tailed Godwit Aguja de Cola Pintada
Limosa haemastica,Hudsonian Godwit Aguja de Mar
Limosa fedoa,Marbled Godwit Aguja Moteada
