SCIENTIFIC NAME,SPANISH NAME
Laniisoma elegans,Elegant Mourner (Shrike-like Cotinga) Plañidero Elegante
Xenopsaris albinucha,White-naped Xenopsaris Xenopsaris de Nuca Blanca
Pachyramphus viridis,Green-backed Becard Cabezón de Dorso Verde
Pachyramphus versicolor,Barred Becard Cabezón BarradoFamily COTINGIDAE: Cotingas / Cotingas
Pachyramphus spodiurus,Slaty Becard Cabezón Pizarroso
Pachyramphus rufus,Cinereous Becard Cabezón Cinéreo
Pachyramphus castaneus,Chestnut-crowned Becard Cabezón de Corona Castaña
Pachyramphus salvini,Cryptic Becard Cabezón Críptico
Pachyramphus polychopterus,White-winged Becard Cabezón de Ala Blanca
Pachyramphus albogriseus,Black-and-white Becard Cabezón Blanco y Negro
Pachyramphus marginatus,Black-capped Becard Cabezón de Gorro Negro
Pachyramphus homochrous,One-colored Becard Cabezón Unicolor
Pachyramphus minor,Pink-throated Becard Cabezón de Garganta Rosada
Pachyramphus validus,Crested Becard Cabezón Crestado
Oxyruncus cristatus,Sharpbill Picoagudo
Onychorhynchus coronatus,Royal Flycatcher Mosquero Real
Terenotriccus erythrurus,Ruddy-tailed Flycatcher Mosquerito de Cola Rojiza
Myiobius villosus,Tawny-breasted Flycatcher Mosquerito de Pecho Leonado
Myiobius barbatus,Sulphur-rumped Flycatcher Mosquerito de Lomo Azufrado
Myiobius atricaudus,Black-tailed Flycatcher Mosquerito de Cola Negra
Piprites chloris,Wing-barred Piprites Piprites de Ala Barrada
Neopipo cinnamomea,Cinnamon Manakin-Tyrant Neopipo Acanelado
Platyrinchus saturatus,Cinnamon-crested Spadebill Pico-Chato de Cresta Canela
Platyrinchus mystaceus,White-throated Spadebill Pico-Chato de Garganta Blanca
Platyrinchus coronatus,Golden-crowned Spadebill Pico-Chato de Corona Dorada
Platyrinchus flavigularis,Yellow-throated Spadebill Pico-Chato de Garganta Amarilla
Platyrinchus platyrhynchos,White-crested Spadebill Pico-Chato de Cresta Blanca
Pseudotriccus pelzelni,Bronze-olive Pygmy-Tyrant Tirano-Pigmeo Bronceado
Pseudotriccus simplex,Hazel-fronted Pygmy-Tyrant Tirano-Pigmeo de Frente Avellanada
Pseudotriccus ruficeps,Rufous-headed Pygmy-Tyrant Tirano-Pigmeo de Cabeza Rufa
Corythopis torquatus,Ringed Antpipit Coritopis Anillado
Pogonotriccus ophthalmicus,Marble-faced Bristle-Tyrant Moscareta-Cerdosa de Cara Jaspeada
Pogonotriccus poecilotis,Variegated Bristle-Tyrant Moscareta-Cerdosa Variegada
Pogonotriccus orbitalis,Spectacled Bristle-Tyrant Moscareta-Cerdosa de Anteojos
Phylloscartes ventralis,Mottle-cheeked Tyrannulet Moscareta de Mejilla Moteada
Phylloscartes gualaquizae,Ecuadorian Tyrannulet Moscareta Ecuatoriana
Phylloscartes superciliaris,Rufous-browed Tyrannulet Moscareta de Ceja Rufa
Phylloscartes parkeri,Cinnamon-faced Tyrannulet Moscareta de Cara Canela
Mionectes striaticollis,Streak-necked Flycatcher Mosquerito de Cuello Listado
Mionectes olivaceus,Olive-striped Flycatcher Mosquerito Rayado de Olivo
Mionectes oleaginous,Ochre-bellied Flycatcher Mosquerito de Vientre Ocráceo
Mionectes macconnelli,McConnell’s Flycatcher Mosquerito de McConnell
Leptopogon amaurocephalus,Sepia-capped Flycatcher Mosquerito de Gorro Sepia
Leptopogon superciliaris,Slaty-capped Flycatcher Mosquerito de Gorro Pizarroso
Leptopogon rufipectus,Rufous-breasted Flycatcher Mosquerito de Pecho Rufo
Leptopogon taczanowskii,Inca Flycatcher Mosquerito Inca
Cnipodectes subbrunneus,Brownish Twistwing Alitorcido Pardusco
Cnipodectes superrufus,Rufous Twistwing Alitorcido Rufo
Rhynchocyclus olivaceus,Olivaceous Flatbill Pico-Plano Oliváceo
Rhynchocyclus fulvipectus,Fulvous-breasted Flatbill Pico-Plano de Pecho Leonado
Tolmomyias traylori,Orange-eyed Flatbill Pico-Plano de Ojo Naranja
Tolmomyias assimilis,Yellow-margined Flatbill Pico-Plano de Ala Amarilla
Tolmomyias poliocephalus,Gray-crowned Flatbill Pico-Plano de Corona Gris
Tolmomyias viridiceps,Olive-faced Flatbill Pico-Plano de Cara Oliva
Tolmomyias sulphurescens,Yellow-olive Flatbill Pico-Plano Azufrado
Myiornis albiventris,White-bellied Pygmy-Tyrant Tirano-Pigmeo de Vientre Blanco
Myiornis ecaudatus,Short-tailed Pygmy-Tyrant Tirano-Pigmeo de Cola CortaFamily OXYRUNCIDAE: Sharpbill / Picoagudo
Lophotriccus pileatus,Scale-crested Pygmy-Tyrant Tirano-Pigmeo de Cresta Escamosa
Lophotriccus vitiosus,Double-banded Pygmy-Tyrant Tirano-Pigmeo de Doble Banda
Lophotriccus eulophotes,Long-crested Pygmy-Tyrant Tirano-Pigmeo de Cresta Larga
Lophotriccus galeatus,Helmeted Pygmy-Tyrant Tirano-Pigmeo de Casquete
Hemitriccus minor,Snethlage’s Tody-Tyrant Tirano-Todi de Snethlage
Hemitriccus cohnhafti,Acre Tody-Tyrant Tirano-Todi de Acre
Hemitriccus spodiops,Yungas Tody-Tyrant Tirano-Todi de Yungas
Hemitriccus flammulatus,Flammulated Pygmy-Tyrant Tirano-Pigmeo Flamulado
Hemitriccus zosterops,White-eyed Tody-Tyrant Tirano-Todi de Ojo Blanco
Hemitriccus griseipectus,White-bellied Tody-Tyrant Tirano-Todi de Vientre Blanco
Hemitriccus iohannis,Johannes’s Tody-Tyrant Tirano-Todi de Johannes
Hemitriccus striaticollis,Stripe-necked Tody-Tyrant Tirano-Todi de Cuello Rayado
Hemitriccus margaritaceiventer,Pearly-vented Tody-Tyrant Tirano-Todi de Vientre Perlado
Hemitriccus minimus,Zimmer’s Tody-Tyrant Tirano Todi de Zimmer
Hemitriccus granadensis,Black-throated Tody-Tyrant Tirano-Todi de Garganta Negra
Hemitriccus cinnamomeipectus,Cinnamon-breasted Tody-Tyrant Tirano-Todi de Pecho Canela
Hemitriccus rufigularis,Buff-throated Tody-Tyrant Tirano-Todi de Garganta Anteada
Poecilotriccus ruficeps,Rufous-crowned Tody-Flycatcher Espatulilla de Corona Rufa
Poecilotriccus luluae,Johnson’s Tody-Flycatcher Espatulilla de Johnson
Poecilotriccus albifacies,White-cheeked Tody-Flycatcher Espatulilla de Mejilla Blanca
Poecilotriccus capitalis,Black-and-white Tody-Flycatcher Espatulilla Negra y Blanca
Poecilotriccus plumbeiceps,Ochre-faced Tody-Flycatcher Espatulilla de Cara Ocrácea
Poecilotriccus latirostris,Rusty-fronted Tody-Flycatcher Espatulilla de Frente Rojiza
Poecilotriccus calopterus,Golden-winged Tody-Flycatcher Espatulilla de Ala Dorada
Poecilotriccus pulchellus,Black-backed Tody-Flycatcher Espatulilla de Dorso Negro
Todirostrum maculatum,Spotted Tody-Flycatcher Espatulilla Moteada
Todirostrum cinereum,Common Tody-Flycatcher Espatulilla Común
Todirostrum chrysocrotaphum,Yellow-browed Tody-Flycatcher Espatulilla de Ceja Amarilla
Myiotriccus ornatus,Ornate Flycatcher Mosquerito Adornado
Nephelomyias pulcher,Handsome Flycatcher Mosquerito Hermoso
Nephelomyias lintoni,Orange-banded Flycatcher Mosquerito de Franja Naranja
Nephelomyias ochraceiventris,Ochraceous-breasted Flycatcher Mosquerito de Pecho Ocráceo
Hirundinea ferruginea,Cliff Flycatcher Tirano de Riscos
Pyrrhomyias cinnamomeus,Cinnamon Flycatcher Mosquerito Canela
Zimmerius bolivianus,Bolivian Tyrannulet Moscareta Boliviana
Zimmerius cinereicapilla,Red-billed Tyrannulet Moscareta de Pico Rojo
Zimmerius villarejoi,Mishana Tyrannulet Moscareta de Mishana
Zimmerius gracilipes,Slender-footed Tyrannulet Moscareta de Pata Delgada
Zimmerius chrysops,Golden-faced Tyrannulet Moscareta de Cara Dorada
Zimmerius viridiflavus,Peruvian Tyrannulet Moscareta Peruana
Stigmatura napensis,Lesser Wagtail-Tyrant Moscareta-Coleadora Menor
Inezia inornata,Plain Tyrannulet Inezia Simple
Euscarthmus meloryphus,Fulvous-crowned Scrub-Tyrant Tirano de Matorral de Corona Leonad a
Euscarthmus fulviceps,Fulvous-faced Scrub-Tyrant Tirano de Matorral de Cara Leonada
Elaenia flavogaster,Yellow-bellied Elaenia Fío-Fío de Vientre Amarillo
Elaenia spectabilis,Large Elaenia Fío-Fío Grande
Elaenia albiceps,White-crested Elaenia Fío-Fío de Cresta Blanca
Elaenia parvirostris,Small-billed Elaenia Fío-Fío de Pico Chico
Elaenia strepera,Slaty Elaenia Fío-Fío Pizarroso
Elaenia gigas,Mottle-backed Elaenia Fío-Fío Moteado
Elaenia pelzelni,Brownish Elaenia Fío-Fío Pardusco
Elaenia cristata,Plain-crested Elaenia Fío-Fío de Cresta Simple
Elaenia chiriquensis,Lesser Elaenia Fío-Fío Menor
Elaenia obscura,Highland Elaenia Fío-Fío Oscuro
Elaenia pallatangae,Sierran Elaenia Fío-Fío Serrano
Tyrannulus elatus,Yellow-crowned Tyrannulet Moscareta de Corona Amarilla
Myiopagis gaimardii,Forest Elaenia Fío-Fío de la Selva
Myiopagis caniceps,Gray Elaenia Fío-Fío Gris
Myiopagis olallai,Foothill Elaenia Fío-Fío Submontano
Myiopagis subplacens,Pacific Elaenia Fío-Fío del Pacífico
Myiopagis flavivertex,Yellow-crowned Elaenia Fío-Fío de Corona Amarilla
Myiopagis viridicata,Greenish Elaenia Fío-Fío Verdoso
Capsiempis flaveola,Yellow Tyrannulet Moscareta Amarilla
Mecocerculus poecilocercus,White-tailed Tyrannulet Tiranillo de Cola Blanca
Mecocerculus hellmayri,Buff-banded Tyrannulet Tiranillo de Franja Anteada
Mecocerculus stictopterus,White-banded Tyrannulet Tiranillo de Ala Bandeada
Mecocerculus leucophrys,White-throated Tyrannulet Tiranillo de Garganta Blanca
Mecocerculus calopterus,Rufous-winged Tyrannulet Tiranillo de Ala Rufa
Mecocerculus minor,Sulphur-bellied Tyrannulet Tiranillo de Vientre Azufrado
Phyllomyias sclateri,Sclater’s Tyrannulet Moscareta de Sclater
Phyllomyias weedeni,Yungas Tyrannulet Moscareta de Yungas
Phyllomyias griseiceps,Sooty-headed Tyrannulet Moscareta de Cabeza Tiznada
Phyllomyias plumbeiceps,Plumbeous-crowned Tyrannulet Moscareta de Corona Plomiza
Acrochordopus zeledoni,White-lored Tyrannulet Moscareta de Lores Blancos
Tyranniscus cinereiceps,Ashy-headed Tyrannulet Moscareta de Cabeza Ceniza
Tyranniscus nigrocapillus,Black-capped Tyrannulet Moscareta de Gorro Negro
Tyranniscus uropygialis,Tawny-rumped Tyrannulet Moscareta de Lomo Leonado
Camptostoma obsoletum,Southern Beardless-Tyrannulet Mosquerito Silbador
Ornithion inerme,White-lored Tyrannulet Moscareta de Lores Blancos
Nesotriccus murinus,Mouse-colored Tyrannulet Moscareta Murina
Nesotriccus tumbezanus,Tumbesian Tyrannulet Moscareta de Tumbes
Nesotriccus maranonicus,Marañón Tyrannulet Moscareta del Marañón
Pseudelaenia leucospodia,Gray-and-white Tyrannulet Moscareta Gris y Blanca
Anairetes nigrocristatus,Black-crested Tit-Tyrant Torito de Cresta Negra
Anairetes reguloides,Pied-crested Tit-Tyrant Torito de Cresta Pintada
Anairetes alpinus,Ash-breasted Tit-Tyrant Torito de Pecho Cenizo
Anairetes flavirostris,Yellow-billed Tit-Tyrant Torito de Pico Amarillo
Anairetes parulus,Tufted Tit-Tyrant Torito Copetón
Pseudocolopteryx acutipennis,Subtropical Doradito Doradito Subtropical
Serpophaga cinerea,Torrent Tyrannulet Moscareta de los Torrentes
Serpophaga hypoleuca,River Tyrannulet Moscareta de los Rios
Serpophaga subcristata,White-crested Tyrannulet Moscareta de Cresta Blanca
Serpophaga griseicapilla,Straneck's Tyrannulet Moscareta de Straneck
Uromyias agraphia,Unstreaked Tit-Tyrant Torito Llano
Muscigralla brevicauda,Short-tailed Field Tyrant Dormilona de Cola Corta
Attila cinnamomeus,Cinnamon Attila Atila Acanelado
Attila torridus,Ochraceous Attila Atila Ocráceo
Attila citriniventris,Citron-bellied Attila Atila de Vientre Citrino
Attila bolivianus,Dull-capped Attila Atila de Ojo Blanco
Attila spadiceus,Bright-rumped Attila Atila Polimorfo
Legatus leucophaius,Piratic Flycatcher Mosquero Pirata
Ramphotrigon megacephalum,Large-headed Flatbill Pico-Plano Cabezón
Ramphotrigon ruficauda,Rufous-tailed Flatbill Pico-Plano de Cola Rufa
Ramphotrigon fuscicauda,Dusky-tailed Flatbill Pico-Plano de Cola Oscura
Pitangus sulphuratus,Great Kiskadee Bienteveo Grande
Philohydor lictor,Lesser Kiskadee Bienteveo Menor
Machetornis rixosa,Cattle Tyrant Tirano Bueyero
Tyrannopsis sulphurea,Sulphury Flycatcher Mosquero Azufrado
Megarynchus pitangua,Boat-billed Flycatcher Mosquero Picudo
Myiodynastes hemichrysus,Golden-bellied Flycatcher Mosquero de Vientre Dorado
Myiodynastes chrysocephalus,Golden-crowned Flycatcher Mosquero de Corona Dorada
Myiodynastes bairdii,Baird’s Flycatcher Mosquero de Baird
Myiodynastes luteiventris,Sulphur-bellied Flycatcher Mosquero de Vientre Azufrado
Myiodynastes maculatus,Streaked Flycatcher Mosquero Rayado
Myiozetetes cayanensis,Rusty-margined Flycatcher Mosquero de Ala Castaña
Myiozetetes similis,Social Flycatcher Mosquero Social
Myiozetetes granadensis,Gray-capped Flycatcher Mosquero de Gorro Gris
Myiozetetes luteiventris,Dusky-chested Flycatcher Mosquero de Pecho Oscuro
Conopias parvus,Yellow-throated Flycatcher Mosquero de Garganta Amarilla
Conopias trivirgatus,Three-striped Flycatcher Mosquero Trirrayado
Conopias cinchoneti,Lemon-browed Flycatcher Mosquero de Ceja Limón
Empidonomus varius,Variegated Flycatcher Mosquero Variegado
Empidonomus aurantioatrocristatus,Crowned Slaty Flycatcher Mosquero-Pizarroso Coronado
Tyrannus niveigularis,Snowy-throated Kingbird Tirano de Garganta Nívea
Tyrannus albogularis,White-throated Kingbird Tirano de Garganta Blanca
Tyrannus melancholicus,Tropical Kingbird Tirano Tropical
Tyrannus forficatus,Scissor-tailed Flycatcher Tijereta de Cola Tijereta
Tyrannus savana,Fork-tailed Flycatcher Tijereta Sabanera
Tyrannus tyrannus,Eastern Kingbird Tirano Norteño
Rhytipterna simplex,Grayish Mourner Plañidero Grisáceo
Casiornis rufus,Rufous Casiornis Casiornis Rufo
Sirystes albocinereus,White-rumped Sirystes Siristes de Lomo Blanco
Myiarchus semirufus,Rufous Flycatcher Copetón Rufo
Myiarchus tuberculifer,Dusky-capped Flycatcher Copetón de Cresta Oscura
Myiarchus swainsoni,Swainson’s Flycatcher Copetón de Swainson
Myiarchus ferox,Short-crested Flycatcher Copetón de Cresta Corta
Myiarchus phaeocephalus,Sooty-crowned Flycatcher Copetón de Corona Tiznada
Myiarchus cephalotes,Pale-edged Flycatcher Copetón de Filos Pálidos
Myiarchus crinitus,Great Crested Flycatcher Copetón Viajero
Myiarchus tyrannulus,Brown-crested Flycatcher Copetón de Cresta Parda
Colonia colonus,Long-tailed Tyrant Tirano de Cola Larga
Myiophobus flavicans,Flavescent Flycatcher Mosquerito Amarillento
Myiophobus phoenicomitra,Orange-crested Flycatcher Mosquerito de Cresta Naranja
Myiophobus inornatus,Unadorned Flycatcher Mosquerito sin Adornos
Myiophobus roraimae,Roraiman Flycatcher Mosquerito de Roraima
Myiophobus cryptoxanthus,Olive-chested Flycatcher Mosquerito de Pecho Olivo
Myiophobus fasciatus,Bran-colored Flycatcher Mosquerito de Pecho Rayado
Myiophobus crypterythrus,Mouse-gray Flycatcher Mosquerito Gris
Myiophobus rufescens,Rufescent Flycatcher Mosquerito Rojizo
Silvicultrix frontalis,Crowned Chat-Tyrant Pitajo Coronado
Silvicultrix jelskii,Jelski’s Chat-Tyrant Pitajo de Jelski
Silvicultrix pulchella,Golden-browed Chat-Tyrant Pitajo de Ceja Dorada
Silvicultrix diadema,Yellow-bellied Chat-Tyrant Pitajo de Vientre Amarillo
Ochthoeca cinnamomeiventris,Slaty-backed Chat-Tyrant Pitajo de Dorso Pizarroso
Ochthoeca rufipectoralis,Rufous-breasted Chat-Tyrant Pitajo de Pecho Rufo
Ochthoeca fumicolor,Brown-backed Chat-Tyrant Pitajo de Dorso Pardo
Ochthoeca oenanthoides,Orbigny’s Chat-Tyrant Pitajo de d’Orbigny
Ochthoeca piurae,Piura Chat-Tyrant Pitajo de Piura
Ochthoeca leucophrys,White-browed Chat-Tyrant Pitajo de Ceja Blanca
Tumbezia salvini,Tumbes Tyrant Pitajo de Tumbes
Sublegatus obscurior,Amazonian Scrub-Flycatcher Moscareta Matorralera Amazónica
Sublegatus modestus,Southern Scrub-Flycatcher Moscareta Matorralera Sureña
Pyrocephalus rubinus,Vermilion Flycatcher Mosquero Bermellón
Fluvicola pica,Pied Water-Tyrant Tirano-de-Agua Blanco y Negro
Fluvicola albiventer,Black-backed Water-Tyrant Tirano-de-Agua de Dorso Negro
Fluvicola nengeta,Masked Water-Tyrant Tirano-de-Agua Enmascarado
Arundinicola leucocephala,White-headed Marsh-Tyrant Tirano-de-Ciénega de Cabeza Blanca
Lessonia rufa,Austral Negrito Negrito Austral
Lessonia oreas,Andean Negrito Negrito Andino
Hymenops perspicillatus,Spectacled Tyrant Viudita Pico de Plata
Knipolegus orenocensis,Riverside Tyrant Viudita Ribereña
Knipolegus poecilurus,Rufous-tailed Tyrant Viudita de Cola Rufa
Knipolegus poecilocercus,Amazonian Black-Tyrant Viudita-Negra Amazónica
Knipolegus signatus,Jelski’s Black-Tyrant Viudita-Negra de Jelski
Knipolegus cabanisi,Plumbeous Black-Tyrant Viudita-Negra Plomiza
Knipolegus aterrimus,White-winged Black-Tyrant Viudita-Negra de Ala Blanca
Knipolegus hudsoni,Hudson’s Black-Tyrant Viudita-Negra de Hudson
Satrapa icterophrys,Yellow-browed Tyrant Tirano de Ceja Amarilla
Syrtidicola fluviatilis,Little Ground-Tyrant Dormilona Enana
Muscisaxicola maculirostris,Spot-billed Ground-Tyrant Dormilona Chica
Muscisaxicola griseus,Taczanowski’s Ground-Tyrant Dormilona de Taczanowski
Muscisaxicola juninensis,Puna Ground-Tyrant Dormilona de la Puna
Muscisaxicola cinereus,Cinereous Ground-Tyrant Dormilona Cinérea
Muscisaxicola albifrons,White-fronted Ground-Tyrant Dormilona de Frente Blanca
Muscisaxicola flavinucha,Ochre-naped Ground-Tyrant Dormilona de Nuca Ocrácea
Muscisaxicola rufivertex,Rufous-naped Ground-Tyrant Dormilona de Nuca Rojiza
Muscisaxicola maclovianus,Dark-faced Ground-Tyrant Dormilona de Cara Oscura
Muscisaxicola albilora,White-browed Ground-Tyrant Dormilona de Ceja Blanca
Muscisaxicola alpinus,Plain-capped Ground-Tyrant Dormilona del Páramo
Muscisaxicola capistratus,Cinnamon bellied Ground-Tyrant Dormilona de Vientre Canela
Muscisaxicola frontalis,Black-fronted Ground-Tyrant Dormilona de Frente Negra
Cnemarchus erythropygius,Red-rumped Bush-Tyrant Tirano-Montés de Lomo Rojo
Cnemarchus rufipennis,Rufous-webbed Bush-Tyrant Ala-Rufa Canelo
Nengetus cinereus,Gray Monjita Monjita Gris
Agriornis montanus,Black-billed Shrike-Tyrant Arriero de Pico Negro
Agriornis albicauda,White-tailed Shrike-Tyrant Arriero de Cola Blanca
Agriornis micropterus,Gray-bellied Shrike-Tyrant Arriero de Vientre Gris
Myiotheretes striaticollis,Streak-throated Bush-Tyrant Ala-Rufa de Garganta Rayada
Myiotheretes fumigatus,Smoky Bush-Tyrant Ala-Rufa Ahumado
Myiotheretes fuscorufus,Rufous-bellied Bush-Tyrant Ala-Rufa de Vientre Rufo
Ochthornis littoralis,Drab Water Tyrant Tirano de Agua Arenisco
Cnemotriccus fuscatus,Fuscous Flycatcher Mosquerito Fusco
Lathrotriccus euleri,Euler’s Flycatcher Mosquerito de Euler
Lathrotriccus griseipectus,Gray-breasted Flycatcher Mosquerito de Pecho Gris
Mitrephanes olivaceus,Olive Flycatcher Mosquerito-Moñudo Olivo
Sayornis nigricans,Black Phoebe Mosquero de Agua
Empidonax alnorum,Alder Flycatcher Mosquerito de Alisos
Contopus cooperi,Olive-sided Flycatcher Pibí Boreal
Contopus fumigatus,Smoke-colored Pewee Pibí Ahumado
Contopus sordidulus,Western Wood-Pewee Pibí Occidental
Contopus virens,Eastern Wood-Pewee Pibí Oriental
Contopus cinereus,Tropical Pewee Pibí Tropical
Contopus nigrescens,Blackish Pewee Pibí Negruzco
Tachuris rubrigastra,Many-colored Rush Tyrant Siete Colores de la Totora
Cyclarhis gujanensis,Rufous-browed Peppershrike Vireón de Ceja Rufa
Hylophilus olivaceus,Olivaceous Greenlet Verdillo Oliváceo
Hylophilus pectoralis,Ashy-headed Greenlet Verdillo de Cabeza Ceniza
Hylophilus semicinereus,Gray-chested Greenlet Verdillo de Pecho Gris
Hylophilus thoracicus,Lemon-chested Greenlet Verdillo de Pecho Limón
Vireolanius leucotis,Slaty-capped Shrike-Vireo Vireón de Gorro Apizarrado
Tunchiornis ochraceiceps,Tawny-crowned Greenlet Verdillo de Corona Leonada
Pachysylvia decurtata,Lesser Greenlet Verdillo Menor
Pachysylvia hypoxantha,Dusky-capped Greenlet Verdillo de Gorro Oscuro
Vireo leucophrys,Brown-capped Vireo Víreo de Gorro Pardo
Vireo olivaceus,Red-eyed Vireo Víreo de Ojo Rojo
Vireo chivi,Chivi Vireo Víreo Chivi
Vireo flavoviridis,Yellow-green Vireo Víreo Verde-Amarillo
Vireo altiloquus,Black-whiskered Vireo Vireo de Bigote NegroFamily VIREONIDAE: Vireos / Vireos
Cyanolyca viridicyanus,White-collared Jay Urraca de Collar Blanco
Cyanolyca turcosa,Turquoise Jay Urraca Turquesa
Cyanocorax violaceus,Violaceous Jay Urraca Violácea
Cyanocorax cyanomelas,Purplish Jay Urraca Purpúrea
Cyanocorax mystacalis,White-tailed Jay Urraca de Cola Blanca
Cyanocorax yncas,Green Jay Urraca Verde
Pygochelidon cyanoleuca,Blue-and-white Swallow Golondrina Azul y Blanca
Alopochelidon fucata,Tawny-headed Swallow Golondrina de Cabeza Leonada
Orochelidon murina,Brown-bellied Swallow Golondrina de Vientre Pardo
Orochelidon flavipes,Pale-footed Swallow Golondrina de Pata Pálida
Orochelidon andecola,Andean Swallow Golondrina Andina
Atticora fasciata,White-banded Swallow Golondrina de Faja Blanca
Atticora tibialis,White-thighed Swallow Golondrina de Muslo Blanco
Stelgidopteryx ruficollis,Southern Rough-winged Swallow Golondrina Ala-Rasposa Sureña
Progne tapera,Brown-chested Martin Martín de Pecho Pardo
Progne subis,Purple Martin Martín Purpúreo
Progne chalybea,Gray-breasted Martin Martín de Pecho Gris
Progne elegans,Southern Martin Martín Sureño
Progne murphyi,Peruvian Martin Martín Peruano
Tachycineta stolzmanni,Tumbes Swallow Golondrina de Tumbes
Tachycineta albiventer,White-winged Swallow Golondrina de Ala Blanca
Tachycineta leucorrhoa,White-rumped Swallow Golondrina de Lomo Blanco
Tachycineta leucopyga,Chilean Swallow Golondrina Chilena
Riparia riparia,Bank Swallow Golondrina Ribereña
Hirundo rustica,Barn Swallow Golondrina Tijereta
Petrochelidon pyrrhonota,Cliff Swallow Golondrina Risquera
Petrochelidon rufocollaris,Chestnut-collared Swallow Golondrina de Collar Castaño
Microcerculus marginatus,Scaly-breasted Wren Cucarachero de Pecho Escamoso
Microcerculus bambla,Wing-banded Wren Cucarachero de Ala Bandeada
Odontorchilus branickii,Gray-mantled Wren Cucarachero de Dorso Gris
Troglodytes aedon,House Wren Cucarachero Común
Troglodytes solstitialis,Mountain Wren Cucarachero Montañes
Cistothorus platensis,Grass Wren Cucarachero Sabanero
Campylorhynchus fasciatus,Fasciated Wren Cucarachero Ondeado
Campylorhynchus turdinus,Thrush-like Wren Cucarachero Zorzal
Pheugopedius euophrys,Plain-tailed Wren Cucarachero de Cola Llana
Pheugopedius eisenmanni,Inca Wren Cucarachero Inca
Pheugopedius genibarbis,Moustached Wren Cucarachero Bigotudo
Pheugopedius coraya,Coraya Wren Cucarachero Coraya
Pheugopedius sclateri,Speckle-breasted Wren Cucarachero de Pecho Jaspeado
Cantorchilus superciliaris,Superciliated Wren Cucarachero con Ceja
Cantorchilus leucotis,Buff-breasted Wren Cucarachero de Pecho Anteado
Cinnycerthia unirufa,Rufous Wren Cucarachero Rufo
Cinnycerthia olivascens,Sharpe’s Wren Cucarachero de Sharpe
Cinnycerthia peruana,Peruvian Wren Cucarachero Peruano
Cinnycerthia fulva,Fulvous Wren Cucarachero Leonado
Henicorhina leucosticta,White-breasted Wood-Wren Cucarachero-Montés de Pecho Blanco
Henicorhina leucoptera,Bar-winged Wood-Wren Cucarachero-Montés de Ala Barrada
Henicorhina leucophrys,Gray-breasted Wood-Wren Cucarachero-Montés de Pecho Gris
Cyphorhinus thoracicus,Chestnut-breasted Wren Cucarachero de Pecho Castaño
Cyphorhinus arada,Musician Wren Cucarachero MusicalFamily CORVIDAE: Crows and Jays / Cuervos y Urracas
Microbates collaris,Collared Gnatwren Soterillo Acollarado
Microbates cinereiventris,Tawny-faced Gnatwren Soterillo de Cara Leonada
Ramphocaenus melanurus,Trilling Gnatwren Soterillo Trinador
Ramphocaenus sticturus,Chattering Gnatwren Soterillo Parloteador
Polioptila plumbea,Tropical Gnatcatcher Perlita Tropical
Polioptila clementsi,Iquitos Gnatcatcher Perlita de Iquitos
Donacobius atricapilla,Black-capped Donacobius Donacobio
Cinclus leucocephalus,White-capped Dipper Mirlo Acuático de Gorro Blanco
Myadestes ralloides,Andean Solitaire Solitario Andino
Catharus fuscater,Slaty-backed Nightingale-Thrush Zorzal Sombrío
Catharus maculatus,Speckled Nightingale-Thrush Zorzal Jaspeado
Catharus fuscescens,Veery Zorzal de Dorso Rojizo
Catharus minimus,Gray-cheeked Thrush Zorzal de Cara Gris
Catharus ustulatus,Swainson’s Thrush Zorzal de Swainson
Entomodestes leucotis,White-eared Solitaire Solitario de Oreja Blanca
Cichlopsis leucogenys,Rufous-brown Solitaire Solitario Rufo-Marrón
Turdus leucops,Pale-eyed Thrush Zorzal de Ojo Pálido
Turdus reevei,Plumbeous-backed Thrush Zorzal de Dorso Plomizo
Turdus leucomelas,Pale-breasted Thrush Zorzal de Pecho Pálido
Turdus hauxwelli,Hauxwell’s Thrush Zorzal de Hauxwell
Turdus obsoletus,Pale-vented Thrush Zorzal de Vientre Pálido
Turdus maculirostris,Ecuadorian Thrush Zorzal Ecuatoriano
Turdus sanchezorum,Varzea Thrush Zorzal de Várzea
Turdus lawrencii,Lawrence’s Thrush Zorzal de Lawrence
Turdus amaurochalinus,Creamy-bellied Thrush Zorzal de Vientre Cremoso
Turdus ignobilis,Black-billed Thrush Zorzal de Pico Negro
Turdus maranonicus,Marañón Thrush Zorzal del Marañón
Turdus fulviventris,Chestnut-bellied Thrush Zorzal de Vientre Castaño
Turdus nigriceps,Andean Slaty Thrush Zorzal Pizarroso Andino
Turdus fuscater,Great Thrush Zorzal Grande
Turdus chiguanco,Chiguanco Thrush Zorzal Chiguanco
Turdus serranus,Glossy-black Thrush Zorzal Negro-Brilloso
Turdus albicollis,White-necked Thrush Zorzal de Cuello Blanco
Mimus gilvus,Tropical Mockingbird Calandria Tropical
Mimus longicaudatus,Long-tailed Mockingbird Calandria de Cola Larga
Mimus triurus,White-banded Mockingbird Calandria de Ala Blanca
Mimus dorsalis,Brown-backed Mockingbird Calandria de Dorso Pardo
Passer domesticus,House Sparrow Gorrión Casero
Anthus chii,Yellowish Pipit Cachirla Amarillenta
Anthus furcatus,Short-billed Pipit Cachirla de Pico Corto
Anthus peruvianus,Peruvian Pipit Cachirla Peruana
